Tipo Agregacao;Gestao;Cod UG;Unidade Gestora;Conta Contabil;Conta Corrente;Saldo Calculado
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004302                                  ;-31000
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004453                                  ;-90760
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004472                                  ;-49800
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004479                                  ;-35490
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004518                                  ;-1713,24
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004705                                  ;-50000
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004720                                  ;-47975
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004726                                  ;-48550
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004830                                  ;-91260
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004835                                  ;-150000
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;004848                                  ;-29880
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005451                                  ;-0,03
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005476                                  ;-5179,95
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005535                                  ;-17404,14
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005549                                  ;-297534
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005554                                  ;-30180
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005653                                  ;-232620,56
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005806                                  ;-4876,05
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005860                                  ;-4997,48
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005917                                  ;-29959
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005922                                  ;-35200
;015201 - FUNDACAO DE APOIO A PESQUISA DO DF                ;="150201";150201 - FUNDAÇÃO DE APOIO A PESQUISA DO DF - FAP          ;764910300 - TRANSFERÊNCIAS VOLU - ENCAMINHADO PARA DECISÃO DO ORDENADOR DE DESPESA;005932                                  ;-45000
